PROCEDURE_CODE	Q12016	Q22016	Q32016	Q42016
A6540	127	148	98	113
A4580	30	13	0	0
A6239	0	1	0	0
L6010	4	6	1	5
Q4010	3	1	0	0
T4535	12	9	0	0
B4155	10130	9020	7785	7395
K0826	126	117	81	77
E0666	123	95	82	61
E0316	7	11	7	3
L5654	58	49	41	43
L0460	499	311	326	271
L3450	54	80	68	38
L0830	0	4	0	1
L0974	17	9	6	5
L5790	65	52	35	56
L5639	1	0	0	0
L7402	10	8	4	8
L0452	1	4	2	0
L5595	1	2	1	0
L6200	3	2	2	2
L5722	1	0	0	0
L3934	1	0	0	0
L3150	2	1	0	0
E0186	148	101	89	109
E1353	362	282	232	217
K0730	144	96	81	63
E0462	5	5	6	2
E0328	9	6	3	7
E0947	14	18	12	5
E2216	11	6	4	6
K0860	6	11	7	5
A7047	2	0	1	0
E0571	1	1	0	0
L6582	0	2	0	0
E8002	0	3	1	0
L5060	0	2	0	0
L7040	0	1	0	0
A6241	23	9	12	10
K0851	31	31	18	28
Q4022	1	6	0	0
E2387	2183	2249	1730	1793
E0433	10	13	7	3
L5617	38	54	33	32
L5585	6	3	4	3
L5712	11	10	7	7
L8509	181	270	166	60
L5630	19	25	17	16
L3956	8	7	7	2
L3550	53	38	20	35
L6689	7	7	2	8
L2570	7	8	6	2
L3465	14	21	19	5
L5420	4	5	1	2
L2070	10	4	5	2
L6647	1	1	0	0
L6300	5	4	3	1
L8041	8	10	4	9
E1355	233	192	103	119
E2325	33	35	26	24
E0640	62	11	21	27
E1014	18	9	5	9
E2632	7	1	1	1
E0970	2	3	1	3
E0463	4	4	0	0
A5105	329	328	269	236
L6020	2	5	2	1
T4523	5	7	0	0
T4527	1	2	0	0
K0820	193	212	178	145
T4521	5	0	0	0
L5710	3	4	1	1
L0470	30	13	11	16
L3330	4	8	3	3
L0635	80	30	35	36
L7362	6	8	3	2
L2184	12	6	9	3
L5570	1	7	3	0
L1730	0	1	0	0
L3207	1	2	0	0
L7360	4	4	2	2
L8658	2	3	0	0
L2060	1	2	0	0
A4550	0	2	0	0
A4556	548	488	217	166
E0636	906	576	273	130
E1092	1	0	0	0
K0736	2	0	0	0
E0270	4	5	1	1
A4619	8	6	2	4
A4611	11	16	12	7
E2610	2	3	4	0
E2628	2	1	0	0
E0980	2	0	0	1
E0425	1	1	0	0
L7170	2	0	0	0
S1040	1	0	0	0
L6920	0	1	0	0
L8699	0	3	0	0
K0864	0	1	0	0
A4495	233	286	227	156
Q4051	1	4	0	0
T4522	2	3	0	0
B4087	4170	3614	3017	3041
E0670	3	6	6	1
L6707	11	5	2	4
Q4014	1	0	0	0
Q4050	1	0	0	0
T4528	8	4	0	0
E2362	11	13	10	4
E0672	9	22	5	6
E0157	41	28	18	30
K0813	11	9	8	8
L0639	190	128	96	69
L0622	16	19	12	6
L2620	12	21	8	17
L0980	3	1	1	0
L1836	121	84	56	52
L5105	12	8	8	5
L1910	36	62	41	28
L2640	8	6	5	5
L0112	3	2	1	3
L1685	13	14	12	9
